	Questions	Queries	Pairs	Masked Questions
157	What is the maximum and average power for the vehicles manufactured by 'Zhuzhou'?	SELECT max(power) ,  avg(power) FROM vehicle WHERE builder  =  'Zhuzhou'	"/* Answer the following: What is the maximum and average power for the vehicles manufactured by 'Zhuzhou'? */
SELECT max(power) ,  avg(power) FROM vehicle WHERE builder  =  'Zhuzhou'
"	What is the maximum and average <mask> for the <mask> manufactured by 'Zhuzhou'?
158	Return the maximum and average power for the vehicles built by Zhuzhou.	SELECT max(power) ,  avg(power) FROM vehicle WHERE builder  =  'Zhuzhou'	"/* Answer the following: Return the maximum and average power for the vehicles built by Zhuzhou. */
SELECT max(power) ,  avg(power) FROM vehicle WHERE builder  =  'Zhuzhou'
"	Return the maximum and average <mask> for the <mask> built by Zhuzhou.
159	What is the id of the vehicle driven for the least times for the vehicles ever used?	SELECT vehicle_id FROM vehicle_driver GROUP BY vehicle_id ORDER BY count(*) ASC LIMIT 1	"/* Answer the following: What is the id of the vehicle driven for the least times for the vehicles ever used? */
SELECT vehicle_id FROM vehicle_driver GROUP BY vehicle_id ORDER BY count(*) ASC LIMIT 1
"	What is the id of the vehicle driven for the least times for the vehicles ever used?
160	Return the id of the vehicle that has been driven the fewest times.	SELECT vehicle_id FROM vehicle_driver GROUP BY vehicle_id ORDER BY count(*) ASC LIMIT 1	"/* Answer the following: Return the id of the vehicle that has been driven the fewest times. */
SELECT vehicle_id FROM vehicle_driver GROUP BY vehicle_id ORDER BY count(*) ASC LIMIT 1
"	Return the id of the vehicle that has been driven the fewest times.
161	What is the top speed and power of the vehicle manufactured in the year of 1996?	SELECT top_speed ,  power FROM vehicle WHERE build_year  =  1996	"/* Answer the following: What is the top speed and power of the vehicle manufactured in the year of 1996? */
SELECT top_speed ,  power FROM vehicle WHERE build_year  =  1996
"	What is the top speed and <mask> of the <mask> manufactured in the year of 1996?
162	Return the top speed and power of the vehicle that was built in the year 1996.	SELECT top_speed ,  power FROM vehicle WHERE build_year  =  1996	"/* Answer the following: Return the top speed and power of the vehicle that was built in the year 1996. */
SELECT top_speed ,  power FROM vehicle WHERE build_year  =  1996
"	Return the top speed and <mask> of the <mask> that was built in the year 1996.
163	What are the build year, model name and builder of the vehicles?	SELECT build_year ,  model ,  builder FROM vehicle	"/* Answer the following: What are the build year, model name and builder of the vehicles? */
SELECT build_year ,  model ,  builder FROM vehicle
"	What are the build year, <mask> name and <mask> of the <mask>?
164	Give the build year, model, and builder of each vehicle.	SELECT build_year ,  model ,  builder FROM vehicle	"/* Answer the following: Give the build year, model, and builder of each vehicle. */
SELECT build_year ,  model ,  builder FROM vehicle
"	Give the build year, <mask>, and <mask> of each <mask>.
167	How many drivers have raced in 'NASCAR'?	SELECT count(*) FROM driver WHERE Racing_Series  =  'NASCAR'	"/* Answer the following: How many drivers have raced in 'NASCAR'? */
SELECT count(*) FROM driver WHERE Racing_Series  =  'NASCAR'
"	How many <mask> have raced in 'NASCAR'?
168	Count the number of drivers who have raced in NASCAR.	SELECT count(*) FROM driver WHERE Racing_Series  =  'NASCAR'	"/* Answer the following: Count the number of drivers who have raced in NASCAR. */
SELECT count(*) FROM driver WHERE Racing_Series  =  'NASCAR'
"	<mask> the number of <mask> who have raced in NASCAR.
169	What is the average top speed of vehicles?	SELECT avg(top_speed) FROM vehicle	"/* Answer the following: What is the average top speed of vehicles? */
SELECT avg(top_speed) FROM vehicle
"	What is the average top speed of <mask>?
170	Return the average top speed across all vehicles.	SELECT avg(top_speed) FROM vehicle	"/* Answer the following: Return the average top speed across all vehicles. */
SELECT avg(top_speed) FROM vehicle
"	Return the average top speed across all <mask>.
173	Which car models have total production larger than 100 or top speed higher than 150?	SELECT model FROM vehicle WHERE total_production  >  100 OR top_speed  >  150	"/* Answer the following: Which car models have total production larger than 100 or top speed higher than 150? */
SELECT model FROM vehicle WHERE total_production  >  100 OR top_speed  >  150
"	Which car <mask> have total production larger than 100 or top speed higher than 150?
174	Give the models of cars that have a total production of over 100 or a top speed over 150.	SELECT model FROM vehicle WHERE total_production  >  100 OR top_speed  >  150	"/* Answer the following: Give the models of cars that have a total production of over 100 or a top speed over 150. */
SELECT model FROM vehicle WHERE total_production  >  100 OR top_speed  >  150
"	Give the <mask> of cars that have a total production of over 100 or a top speed over 150.
175	What are the model names and build year of the cars with 'DJ' in its model name?	SELECT model ,  build_year FROM vehicle WHERE model LIKE '%DJ%'	"/* Answer the following: What are the model names and build year of the cars with 'DJ' in its model name? */
SELECT model ,  build_year FROM vehicle WHERE model LIKE '%DJ%'
"	What are the <mask> names and build year of the cars with 'DJ' in its <mask> name?
176	"Return the model and build year of cars that include ""DJ"" in their model names."	SELECT model ,  build_year FROM vehicle WHERE model LIKE '%DJ%'	"/* Answer the following: Return the model and build year of cars that include ""DJ"" in their model names. */
SELECT model ,  build_year FROM vehicle WHERE model LIKE '%DJ%'
"	"Return the <mask> and build year of cars that include ""DJ"" in their <mask> names."
183	How many vehicles have maximum top speed?	SELECT count(*) FROM vehicle WHERE top_speed  =  (SELECT max(top_speed) FROM vehicle)	"/* Answer the following: How many vehicles have maximum top speed? */
SELECT count(*) FROM vehicle WHERE top_speed  =  (SELECT max(top_speed) FROM vehicle)
"	How many <mask> have maximum top speed?
184	Count the number of vehicles that have a top speed equal to the maximum across all vehicles.	SELECT count(*) FROM vehicle WHERE top_speed  =  (SELECT max(top_speed) FROM vehicle)	"/* Answer the following: Count the number of vehicles that have a top speed equal to the maximum across all vehicles. */
SELECT count(*) FROM vehicle WHERE top_speed  =  (SELECT max(top_speed) FROM vehicle)
"	<mask> the number of <mask> that have a top speed equal to the maximum across all <mask>.
185	Show all driver names in the alphabetical order.	SELECT name FROM driver ORDER BY name	"/* Answer the following: Show all driver names in the alphabetical order. */
SELECT name FROM driver ORDER BY name
"	Show all <mask> <mask> in the alphabetical order.
186	What are the names of drivers, returned in alphbetical order?	SELECT name FROM driver ORDER BY name	"/* Answer the following: What are the names of drivers, returned in alphbetical order? */
SELECT name FROM driver ORDER BY name
"	What are the <mask> of <mask>, returned in alphbetical order?
187	How many drivers have been racing in each racing series?	SELECT count(*) ,  racing_series FROM driver GROUP BY racing_series	"/* Answer the following: How many drivers have been racing in each racing series? */
SELECT count(*) ,  racing_series FROM driver GROUP BY racing_series
"	How many <mask> have been racing in each racing series?
188	Count the number of drivers that have raced in each series.	SELECT count(*) ,  racing_series FROM driver GROUP BY racing_series	"/* Answer the following: Count the number of drivers that have raced in each series. */
SELECT count(*) ,  racing_series FROM driver GROUP BY racing_series
"	<mask> the number of <mask> that have raced in each series.
191	How many drivers have not driven any cars?	SELECT count(*) FROM driver WHERE driver_id NOT IN ( SELECT driver_id FROM vehicle_driver )	"/* Answer the following: How many drivers have not driven any cars? */
SELECT count(*) FROM driver WHERE driver_id NOT IN ( SELECT driver_id FROM vehicle_driver )
"	How many <mask> have not driven any cars?
192	Count the number of drivers who have not driven any vehicles.	SELECT count(*) FROM driver WHERE driver_id NOT IN ( SELECT driver_id FROM vehicle_driver )	"/* Answer the following: Count the number of drivers who have not driven any vehicles. */
SELECT count(*) FROM driver WHERE driver_id NOT IN ( SELECT driver_id FROM vehicle_driver )
"	<mask> the number of <mask> who have not driven any vehicles.
193	How many exams are there?	SELECT count(*) FROM Exams	"/* Answer the following: How many exams are there? */
SELECT count(*) FROM Exams
"	How many <mask> are there?
194	Count the number of exams.	SELECT count(*) FROM Exams	"/* Answer the following: Count the number of exams. */
SELECT count(*) FROM Exams
"	<mask> the number of <mask>.
195	List the distinct subject code of exams in ascending alphabetical order .	select distinct subject_code from exams order by subject_code asc	"/* Answer the following: List the distinct subject code of exams in ascending alphabetical order . */
select distinct subject_code from exams order by subject_code asc
"	List the <mask> subject code of <mask> in ascending alphabetical <mask> .
